English,Thai
excited ,ตื่นเต้น
excitement ,ความตื่นเต้น
exclude ,ไม่รวม
excluding ,ไม่รวม
excuse  ,ขอโทษ
executive  ,ฝ่ายบริหาร
exercise  ,การออกกำลังกาย
exhibit  ,จัดแสดง
exhibition ,งานแสดงนิทรรศการ
exist ,ที่มีอยู่
existence ,การดำรงอยู่
exit ,ทางออก
expand ,ขยายตัว
expect ,คาดหวัง
expected ,ที่คาดหวัง
unexpected ,ไม่คาดฝัน
unexpectedly ,กะทันหัน
expectation ,ความคาดหวัง
expense ,ค่าใช้จ่าย
expensive ,เเพง
experience  ,ประสบการณ์
experienced ,ที่มีประสบการณ์
experiment  ,การทดลอง
expert  ,ผู้เชี่ยวชาญ
explain ,อธิบาย
explanation ,คำอธิบาย
explode ,ระเบิด
explore ,สำรวจ
explosion ,การระเบิด
export  ,ส่งออก
expose ,เปิดเผย
express  ,ด่วน
expression ,การแสดงออก
extend ,ต่ออายุ
extension ,ส่วนขยาย
extensive ,กว้างขวาง
extent ,ขอบเขต
extra   ,พิเศษ
extraordinary ,วิสามัญ
extreme  ,สุดขีด
extremely ,อย่างมาก
eye ,ตา
face  ,ใบหน้า
facility ,สิ่งอำนวยความสะดวก
fact ,ความจริง
factor ,ปัจจัย
factory ,โรงงาน
fail ,ล้มเหลว
failure ,ความล้มเหลว
faint ,เป็นลม
faintly ,ราง
fair ,ธรรม
fairly ,อย่างเป็นธรรม
unfairly ,อย่างไม่เป็นธรรม
faithful ,ซื่อสัตย์
faithfully ,ซื่อ
Yours faithfully ,ขอแสดงความนับถือ
fall  ,ตก
fall over,ตก
false ,เท็จ
fame ,ชื่อเสียง
familiar ,คุ้นเคย
family  ,ครอบครัว
famous ,มีชื่อเสียง
fan ,แฟน
fancy  ,แฟนซี
far  ,ห่างไกล
further ,ต่อไป
farm ,ฟาร์ม
farming ,การทำฟาร์ม
farmer ,ชาวนา
farther farthest far,ไกลออกไปไกลไกล
fashion ,แฟชั่น
fashionable ,ทันสมัย
fast  ,รวดเร็ว
fasten ,ยึด
fat  ,อ้วน
father ,พ่อ
faucet  ,ก๊อกน้ำ
fault ,ความผิด
favour  ,โปรดปราน
in favour,ฮิต
favourite ,ที่ชื่นชอบ
fear  ,กลัว
feather ,ขน
feature  ,ลักษณะเฉพาะ
February ,กุมภาพันธ์
federal ,รัฐบาลกลาง
fee ,ค่าธรรมเนียม
feed ,อาหาร
feel ,รู้สึก
feeling ,ความรู้สึก
fellow  ,มนุษย์
female  ,หญิง
fence ,รั้ว
festival ,งานเทศกาล
fetch ,นำมา
fever ,ไข้
few ,น้อย
a few,จำนวนน้อย
field ,สนาม
fight  ,สู้
figure  ,รูป
file ,ไฟล์
fill ,เติม
film  ,ฟิล์ม
final  ,สุดท้าย
finally ,ในที่สุด
finance  ,การเงิน
financial ,การเงิน
find ,หา
find out sth,หาฏ
fine ,ละเอียด
finely ,ประณีต
finger ,นิ้ว
finish  ,เสร็จสิ้น
finished ,เสร็จ
fire  ,ไฟ
set fire to,จุดไฟเผา
firm   ,บริษัท
firmly ,แน่นหนา
first ,เป็นครั้งแรก
at first,ในตอนแรก
fish  ,ปลา
fishing ,ประมง
fit  ,พอดี
fix ,แก้ไข
fixed ,แก้ไขแล้ว
flame ,เปลวไฟ
flash  ,แฟลช
flat  ,แบน
flavour  ,รส
flesh ,เนื้อ
flight ,เที่ยวบิน
float ,ลอย
flood  ,น้ำท่วม
floor ,ชั้น
flour ,แป้ง
flow  ,ไหล
flower ,ดอกไม้
flu ,ไข้หวัดใหญ่
fly  ,บิน
flying  ,การบิน
focus  ,โฟกัส
fold  ,พับ
folding ,พับได้
follow ,ปฏิบัติตาม
following   ,ดังต่อไปนี้
food ,อาหาร
foot ,เท้า
football ,ฟุตบอล
for ,สำหรับ
force  ,บังคับ
forecast  ,พยากรณ์
foreign ,ต่างประเทศ
forest ,ป่า
forever ,ตลอดไป
forget ,ลืม
forgive ,ยกโทษให้
fork ,ส้อม
formal ,เป็นทางการ
formally ,เป็นทางการ
former ,อดีต
formerly ,สมัยก่อน
formula ,สูตร
fortune ,โชคลาภ
forward ,ข้างหน้า
forward ,ข้างหน้า
found ,พบ
foundation ,มูลนิธิ
frame  ,กรอบ
free   ,ฟรี
freely ,อิสระ
freeze ,แข็ง
frozen ,แช่แข็ง
frequent ,บ่อย
frequently ,บ่อยๆ
fresh ,สด
freshly ,เอี่ยม
Friday  ,วันศุกร์
fridge  ,ตู้เย็น
friend ,เพื่อน
make friends ,ทำความรู้จักกับเพื่อน
friendly ,เป็นมิตร
friendship ,มิตรภาพ
frighten ,ขู่
frightening ,น่ากลัว
frightened ,กลัว
from ,จาก
front  ,ด้านหน้า
in front ,ข้างหน้า
frozen freeze,แช่แข็งแช่แข็ง
fruit ,ผลไม้
fry  ,ทอด
fuel ,เชื้อเพลิง
full ,เต็ม
fully ,อย่างเต็มที่
fun  ,สนุก
make fun of,แซว
function  ,ฟังก์ชัน
fund  ,กองทุน
fundamental ,พื้นฐาน
funeral ,งานศพ
funny ,ตลก
fur ,ขน
furniture ,เฟอร์นิเจอร์
further furthest far,ห่างไกลต่อไป
future  ,อนาคต
g abbr. gram,กรัม abbr กรัม
gain  ,ได้รับ
gallon ,แกลลอน
gamble  ,เล่นการพนัน
gambling ,การเล่นการพนัน
game ,เกม
gap ,ช่องว่าง
garage ,โรงรถ
garbage  ,ขยะ
garden ,สวน
gas ,แก๊ส
gasoline  ,น้ำมันเบนซิน
gather ,รวบรวม
gear ,เกียร์
general ,ทั่วไป
generally ,โดยทั่วไป
in general,โดยทั่วไปแล้ว
generate ,สร้าง
generation ,รุ่น
generous ,ใจกว้าง
generously ,อย่างไม่เห็นแก่ตัว
gentle ,อ่อนโยน
gently ,ค่อยๆ
gentleman ,สุภาพบุรุษ
genuine ,แท้
genuinely ,อย่างแท้จริง
geography ,ภูมิศาสตร์
get ,ได้รับ
get on,ขึ้น
get off,ลง
giant  ,ยักษ์
gift ,ของขวัญ
girl ,สาว
girlfriend ,แฟน
give ,ให้
give sth away,ให้ออกไปฏ
give sth out,ให้ออกฏ
give (sth) up,ให้ (ฏ) ขึ้น
glad ,ดีใจ
glass ,กระจก
glasses ,แว่นตา
global ,ทั่วโลก
glove ,ถุงมือ
glue  ,กาว
go ,ไป
go down,ลงข้างล่าง
go up,ขึ้น
be going to,จะไป
goal ,เป้าหมาย
god ,พระเจ้า
gold  ,ทอง
good  ,ดี
good at,ดีที่
good for,ที่ดีสำหรับ
goodbye,ลาก่อน
goods ,สินค้า
govern ,ปกครอง
government ,รัฐบาล
governor ,ผู้ว่าราชการจังหวัด
grab ,คว้า
grade  ,เกรด
gradual ,ค่อยๆ
gradually ,ค่อยๆ
grain ,เมล็ดข้าว
gram,กรัม
grammar ,ไวยากรณ์
grand ,ยิ่งใหญ่
grandchild ,หลาน
granddaughter ,หลานสาว
grandfather ,คุณปู่
grandmother ,ยาย
grandparent ,ปู่ย่าตายาย
grandson ,หลานชาย
grant  ,ทุน
grass ,หญ้า
grateful ,กตัญญู
grave  ,หลุมฝังศพ
gray ,สีเทา
great ,ยิ่งใหญ่
greatly ,อย่างมาก
green  ,สีเขียว
grey  ,สีเทา
grocery ,ร้านขายของชำ
groceries ,ร้านขายของชำ
ground ,พื้น
group ,กลุ่ม
grow ,เจริญ
grow up,โตขึ้น
growth ,การเจริญเติบโต
guarantee  ,รับประกัน
guard  ,ยาม
guess  ,เดา
guest ,แขก
guide  ,คู่มือ
guilty ,รู้สึกผิด
gun ,ปืน
guy ,ผู้ชาย
habit ,นิสัย
hair ,ผม
hairdresser ,ช่างทำผม
half  ,ครึ่ง
hall ,ห้องโถง
hammer ,ค้อน
hand  ,มือ
handle  ,ด้ามจับ
hang ,แขวน
happen ,เกิดขึ้น
happiness ,ความสุข
unhappiness ,ความทุกข์
happy ,มีความสุข
happily ,เป็นสุข
unhappy ,ไม่มีความสุข
hard  ,ยาก
hardly ,แทบจะไม่
harm  ,อันตราย
harmful ,เป็นอันตราย
harmless ,ไม่เป็นอันตราย
hat ,หมวก
hate  ,เกลียด
hatred ,ความเกลียดชัง
have  auxiliary ,มีเสริม
have to modal ,มีการกิริยา
he ,เขา
head  ,ศีรษะ
headache ,อาการปวดหัว
heal ,รักษา
health ,สุขภาพ
healthy ,แข็งแรง
hear ,ได้ยิน
hearing ,การได้ยิน
heart ,หัวใจ
heat  ,ความร้อน
heating ,เครื่องทำความร้อน
heaven ,สวรรค์
heavy ,หนัก
heavily ,หนัก
heel ,ส้น
height ,ความสูง
hell ,นรก
hello ,สวัสดี
help  ,ช่วยด้วย
helpful ,เป็นประโยชน์
hence ,ด้วยเหตุนี้
her ,เธอ
hers ,ของเธอ
here ,ที่นี่
hero ,พระเอก
herself ,ตัวเธอเอง
hesitate ,ลังเล
hi ,สวัสดี
hide ,ซ่อน
high  ,สูง
highly ,อย่างมาก
highlight  ,ไฮไลท์
highway  ,ทางหลวง
hill ,เนินเขา
him ,เขา
himself ,ตัวเขาเอง
hip ,สะโพก
hire  ,จ้าง
his ,ของเขา
historical ,ประวัติศาสตร์
history ,ประวัติศาสตร์
hit  ,ตี
hobby ,งานอดิเรก
hold  ,ถือ
hole ,รู
holiday ,วันหยุด
hollow ,กลวง
holy ,ศักดิ์สิทธิ์
home  .,บ้าน  .
homework ,การบ้าน
honest ,ซื่อสัตย์
honestly ,อย่างสุจริต
honour ,เกียรติ
in honour/honor of,ในเกียรติ / เกียรติของ
hook ,ตะขอ
hope  ,ความหวัง
horizontal ,ตามแนวนอน
horn ,เขา
horror ,ความน่ากลัว
horse ,ม้า
hospital ,โรงพยาบาล
host  ,เจ้าภาพ
hot ,ร้อน
hotel ,โรงแรม
hour ,ชั่วโมง
house ,บ้าน
housing ,การเคหะ
household  ,ครัวเรือน
how ,อย่างไร
however ,อย่างไรก็ตาม
huge ,ใหญ่
human  ,เป็นมนุษย์
humorous ,ตลก
humour ,อารมณ์ขัน
hungry ,หิว
hunt ,ล่า
hunting ,การล่าสัตว์
hurry  ,รีบเร่ง
in a hurry,รีบร้อน
hurt ,เจ็บ
husband ,สามี
I ,ผม
ice ,น้ำแข็ง
ice cream ,ไอศครีม
idea ,ความคิด
ideal  ,ในอุดมคติ
ideally ,ความนึกคิด
identify ,แยกแยะ
i.e. ,นั่นคือ
if ,ถ้า
ignore ,ไม่สนใจ
ill  ,ป่วย
illegal ,ที่ผิดกฎหมาย
illegally ,ผิดกฎหมาย
illness ,การเจ็บป่วย
illustrate ,แสดง
image ,ภาพ
imaginary ,สมมุติขึ้น
imagination ,จินตนาการ
imagine ,จินตนาการ
immediate ,ทันทีทันใด
immediately ,ทันที
immoral ,ผิดศีลธรรม
impact ,ส่งผลกระทบ
impatient ,ใจร้อน
impatiently ,มุทะลุ
implication ,ความหมาย
imply ,บ่งบอกถึง
import  ,นำเข้า
importance ,ความสำคัญ
important ,สำคัญ
importantly ,ที่สำคัญ
unimportant ,ไม่สำคัญ
impose ,กำหนด
impossible ,เป็นไปไม่ได้
impress ,ประทับใจ
impressed ,ประทับใจ
impression ,ความประทับใจ
impressive ,ประทับใจ
improve ,ทำให้ดีขึ้น
improvement ,การปรับปรุง
in  ,ใน
inability ,การไร้ความสามารถ
inch ,นิ้ว
incident ,อุบัติการณ์
include ,ประกอบด้วย
including ,รวมทั้ง
income ,เงินได้
increase  ,เพิ่มขึ้น
increasingly ,ขึ้น
indeed ,จริง
independence ,ความเป็นอิสระ
independent ,อิสระ
independently ,อิสระ
index ,ดัชนี
indicate ,แสดง
indication ,การแสดง
indirect ,ทางอ้อม
indirectly ,โดยทางอ้อม
individual  ,รายบุคคล
indoors ,ในบ้าน
indoor ,ในร่ม
industrial ,ด้านอุตสาหกรรม
industry ,อุตสาหกรรม
inevitable ,แน่นอน
inevitably ,ย่อม
infect ,การติดเชื้อ
infected ,ติดเชื้อแล้ว
infection ,การติดเชื้อ
infectious ,ติดเชื้อ
influence  ,มีอิทธิพล
inform ,แจ้ง
informal ,ไม่เป็นทางการ
information ,ข้อมูล
ingredient ,ส่วนผสม
initial  ,แรกเริ่ม
initially ,ในขั้นต้น
initiative ,ความคิดริเริ่ม
injure ,ได้รับบาดเจ็บ
injured ,ที่ได้รับบาดเจ็บ
injury ,ความเสียหาย
ink ,หมึก
inner ,ภายใน
innocent ,ผู้บริสุทธิ์
inquiry enquiry,สอบถามรายละเอียดเพิ่มเติมสอบถามรายละเอียดเพิ่มเติม
insect ,แมลง
insert ,แทรก
inside    ,ภายใน
insist ,ยืนยัน
install ,ติดตั้ง
instance ,ตัวอย่าง
for instance,เช่น
instead ,แทน
instead of,แทน
institute ,สถาบัน
institution ,สถาบัน
instruction ,คำแนะนำ
instrument ,เครื่องดนตรี
insult  ,ดูถูก
insulting ,ดูถูก
insurance ,ประกันภัย
intelligence ,สติปัญญา
intelligent ,ฉลาด
intend ,ตั้งใจ
intended ,ตั้งใจว่า
intention ,ความตั้งใจ
interest  ,น่าสนใจ
interesting ,น่าสนใจ
interior  ,ภายใน
internal ,ภายใน
international ,ระหว่างประเทศ
Internet ,อินเทอร์เน็ต
interpret ,ตีความ
interpretation ,การตีความ
interrupt ,ขัดจังหวะ
interruption ,การหยุดชะงัก
interval ,ระยะห่าง
interview  ,สัมภาษณ์
into ,เข้าไป
introduce ,แนะนำ
introduction ,บทนำ
invent ,คิดค้น
invention ,การประดิษฐ์
invest ,ลงทุน
investigate ,สอบสวน
investigation ,ตรวจสอบ
investment ,การลงทุน
invitation ,คำเชิญ
invite ,เชิญ
involve ,รวมถึง
involved in,ในการมีส่วนร่วม
involvement ,การมีส่วนร่วม
iron  ,เหล็ก
irritate ,ระคายเคือง
irritating ,ที่ทำให้โกรธ
irritated ,ระคายเคือง
island ,เกาะ
issue  ,ปัญหา
it ,มัน
its ,ของมัน
item ,สิ่งของ
itself ,ตัวเอง
jacket ,แจ็คเก็ต
jam ,แยม
January ,มกราคม
jealous ,อิจฉา
jeans ,กางเกงยีนส์
jelly ,วุ้น
jewellery ,เครื่องเพชรพลอย
job ,งาน
join ,ร่วม
joint  ,ร่วมกัน
jointly ,ร่วมกัน
joke  ,เรื่องตลก
journalist ,นักข่าว
journey ,การเดินทาง
joy ,ความปิติยินดี
judge  ,ผู้พิพากษา
judgement ,การตัดสิน
juice ,น้ำผลไม้
July  ,กรกฎาคม
jump  ,กระโดด
June  ,มิถุนายน
junior  ,อนุ
just ,แค่
justice ,ความยุติธรรม
justify ,แสดงให้เห็นถึง
justified ,ธรรม
kilometre,กิโลเมตร
keen ,กระตือรือร้น
keen on,ใฝ่ใจ
keep ,เก็บ
key  ,สำคัญ
keyboard ,แป้นพิมพ์
kick  ,เตะ
kid ,เด็ก
kill ,ฆ่า
kilogram ,กิโลกรัม
kilometre ,กิโลเมตร
kind  ,ชนิด
kindly ,กรุณา
unkind ,เหี้ยมโหด
kindness ,ความเมตตา
king ,กษัตริย์
kiss  ,จูบ
kitchen ,ครัว
knee ,เข่า
knife ,มีด
knit ,ถัก
knitted ,ที่ถัก
knitting ,การถัก
knot ,ปม
know ,ทราบ
unknown ,ไม่ทราบ
well known ,ที่รู้จักกันดี
knowledge ,ความรู้
label  ,ฉลาก
laboratory ,ห้องปฏิบัติการ
labour ,แรงงาน
lack  ,ไม่มี
lacking ,ขาดแคลน
lady ,ผู้หญิง
lake ,ทะเลสาป
lamp ,โคมไฟ
land  ,ที่ดิน
landscape ,ภูมิประเทศ
lane ,ตรอก
language ,ภาษา
large ,ใหญ่
largely ,ส่วนใหญ่
last,ล่าสุด
late  ,สาย
later  ,ต่อมา
latest  ,ล่าสุด
latter  ,ระยะหลัง
launch  ,เปิด
law ,กฎหมาย
lawyer ,ทนายความ
lay ,วาง
layer ,ชั้น
lazy ,ขี้เกียจ
lead ,ตะกั่ว
leading ,ชั้นนำ
leader ,หัวหน้า
leaf ,ใบไม้
league ,พันธมิตร
lean ,ยัน
learn ,เรียน
least ,น้อยที่สุด
at least,อย่างน้อย
leather ,หนังสัตว์
leave ,ออกจาก
leave out,ออกจาก
lecture ,คำบรรยาย
left   ,ซ้าย
leg ,ขา
legal ,ถูกกฎหมาย
legally ,ตามกฎหมาย
lemon ,มะนาว
lend ,ยืม
length ,ความยาว
less ,น้อยกว่า
let ,ปล่อย
letter ,จดหมาย
level  ,ชั้น
library ,ห้องสมุด
licence ,อนุญาต
license ,อนุญาต
lid ,ฝา
lie  ,โกหก
life ,ชีวิต
lift  ,ยก
light   ,เบา
lightly ,เบา
like   ,ชอบ
unlike  ,แตกต่าง
likely  ,เป็นไปได้
unlikely ,ไม่แน่
limit  ,จำกัด
limited ,ถูก จำกัด
line ,ไลน์
link  ,ลิงค์
lip ,ฝีปาก
liquid  ,ของเหลว
list  ,รายการ
listen ,ฟัง
literature ,วรรณกรรม
litre  ,ลิตร
little  ,น้อย
live ,มีชีวิต
living ,การดำรงชีวิต
lively ,สดใส
load  ,ภาระ
unload ,ขน
loan ,เงินกู้
local ,ในประเทศ
locally ,ในท้องถิ่น
locate ,ตั้งอยู่
located ,ที่ตั้งอยู่
location ,ที่ตั้ง
lock  ,ล็อค
logic ,ตรรกะ
logical ,ตรรกะ
lonely ,โดดเดี่ยว
look  ,ดู
look after ,ดูแล
look at,ดูที่
look for,มองหา
look forward to,ตั้งตารอ
loose ,หลวม
loosely ,อย่างอิสระ
lord ,เจ้า
lorry  ,รถบรรทุก
lose ,แพ้
loss ,การสูญเสีย
lot,จำนวนมาก
loud  ,ดัง
loudly ,ลั่น
love  ,รัก
lovely ,น่ารัก
lover ,คนรัก
low  ,ต่ำ
luck ,โชค
lucky ,โชคดี
unlucky ,โชคร้าย
luggage ,กระเป๋าเดินทาง
lump ,ก้อน
lunch ,อาหารกลางวัน
lung ,ปอด
machine ,เครื่อง
machinery ,เครื่องจักรกล
mad ,บ้า
magazine ,นิตยสาร
magic  ,มายากล
mail  ,อีเมล
main ,หลัก
mainly ,ส่วนใหญ่
maintain ,เก็บรักษา
major ,สำคัญ
majority ,ส่วนใหญ่
make  ,แต่งหน้า
make sth up,ทำขึ้นฏ
make-up ,แต่งหน้า
male  ,ชาย
mall ,ห้างสรรพสินค้า
man ,ชาย
manage ,จัดการ
manager ,ผู้จัดการ
manner ,ลักษณะ
manufacture  ,การผลิต
manufacturing ,การผลิต
manufacturer ,ผู้ผลิต
many ,จำนวนมาก
map ,แผนที่
March ,มีนาคม
march  ,มีนาคม
mark  ,เครื่องหมาย
market ,ตลาด
marketing ,การตลาด
marriage ,การแต่งงาน
marry ,แต่งงาน
married ,แต่งงาน
mass  ,มวล
massive ,มาก
master ,เจ้านาย
match  ,การจับคู่
matching ,การจับคู่
mate  ,เพื่อน
material  ,วัสดุ
mathematics ,คณิตศาสตร์
matter  ,เรื่อง
maximum  ,ขีดสุด
may modal ,อาจเป็นกิริยาช่วย
May ,อาจ
maybe ,อาจจะ
mayor ,นายกเทศมนตรี
me ,ผม
meal ,อาหาร
mean ,ค่าเฉลี่ย
meaning ,ความหมาย
means ,วิธี
by means of,โดย
meanwhile ,ในขณะเดียวกัน
measure  ,วัด
measurement ,การวัด
meat ,เนื้อ
media ,สื่อ
medical ,ทางการแพทย์
medicine ,ยา
medium  ,กลาง
meet ,พบกัน
meeting ,ประชุม
melt ,ละลาย
member ,สมาชิก
membership ,การเป็นสมาชิก
memory ,หน่วยความจำ
in memory of,ในหน่วยความจำ
mental ,ทางใจ
mentally ,ทางจิตใจ
mention ,กล่าวถึง
menu ,เมนู
mere ,เท่านั้น
merely ,แค่
mess ,ความยุ่งเหยิง
message ,ข่าวสาร
metal ,โลหะ
method ,วิธี
metre  ,เมตร
milligram,มิลลิกรัม
mid- combining form,กลางรูปแบบการรวม
midday ,เที่ยง
middle  ,กลาง
midnight ,เที่ยงคืน
might modal ,อาจเป็นกิริยาช่วย
mild ,อ่อน
mile ,ไมล์
military ,ทหาร
milk ,นม
milligram,มิลลิกรัม
millimetre,มิลลิเมตร
mind  ,ใจ
mine,เหมือง
mineral  ,แร่
minimum  ,ขั้นต่ำ
minister ,รัฐมนตรี
ministry ,กระทรวง
minor ,ผู้เยาว์
minority ,ชนกลุ่มน้อย
minute ,นาที
mirror ,กระจกเงา
miss  ,นางสาว
Miss ,นางสาว
missing ,หายไป
mistake  ,ผิดพลาด
mistaken ,ผิดพลาด
mix  ,ผสม
mixed ,ผสม
mixture ,สารผสม
mobile ,โทรศัพท์มือถือ
mobile phone ,โทรศัพท์มือถือ
model ,แบบ
modern ,ทันสมัย
mom ,แม่
moment ,ขณะ
Monday  ,วันจันทร์
money ,เงิน
monitor  ,หน้าจอ
month ,เดือน
mood ,อารมณ์
moon ,ดวงจันทร์
moral ,คุณธรรม
morally ,ในทางศีลธรรม
more ,มากกว่า
moreover ,ยิ่งไปกว่านั้น
morning ,ตอนเช้า
most ,มากที่สุด
mostly ,ส่วนใหญ่
mother ,แม่
motion ,การเคลื่อนไหว
motor ,เครื่องยนต์
motorcycle ,รถจักรยานยนต์
mount  ,ภูเขา
mountain ,ภูเขา
mouse ,เม้าส์
mouth ,ปาก
move  ,ย้าย
moving ,การเคลื่อนย้าย
movement ,การเคลื่อนไหว
movie  ,หนัง
movie theater  ,โรงภาพยนตร์
Mr  ,นาย
Mrs  ,นาง
Ms  ,นางสาว
much ,มาก
mud ,โคลน
multiply ,คูณ
mum  ,แม่
murder  ,ฆาตกรรม
muscle ,กล้ามเนื้อ
museum ,พิพิธภัณฑ์
music ,เพลง
musical ,ดนตรี
musician ,นักดนตรี
must modal ,ต้องเป็นกิริยาช่วย
my ,ของฉัน
myself ,ตนเอง
mysterious ,ลึกลับ
mystery ,ความลึกลับ
nail ,เล็บ
naked ,เปลือยกาย
name  ,ชื่อ
narrow ,แคบ
nation ,ประเทศชาติ
national ,แห่งชาติ
natural ,โดยธรรมชาติ
naturally ,เป็นธรรมชาติ
nature ,ธรรมชาติ
navy ,กองทัพเรือ
near   ,ใกล้
nearby  ,ใกล้เคียง
nearly ,เกือบ
neat ,เรียบร้อย
neatly ,อย่างเรียบร้อย
necessary ,จำเป็น
necessarily ,อย่างจำเป็น
unnecessary ,ไม่จำเป็น
neck ,คอ
need  modal  ,จำเป็นกิริยา
needle ,เข็ม
negative ,เชิงลบ
neighbour  ,เพื่อนบ้าน
neighbourhood  ,ย่าน
neither ,ค่า
nephew ,หลานชาย
nerve ,เส้นประสาท
nervous ,หงุดหงิด
nervously ,อย่างหงุดหงิด
nest  ,รัง
net ,สุทธิ
network ,เครือข่าย
never ,ไม่เคย
nevertheless ,แต่ถึงอย่างไร
new ,ใหม่
newly ,ใหม่
news ,ข่าว
newspaper ,หนังสือพิมพ์
next   ,ต่อไป
next to ,ต่อไป
nice ,ดี
nicely ,อย่างดี
niece ,หลานสาว
night ,กลางคืน
no ,ไม่
No. ,เลขที่
nobody (also no one) ,ไม่มีใคร (ยังไม่มีใคร)
noise ,สัญญาณรบกวน
noisy ,ดัง
noisily ,มี่ฉาว
non- ,ไม่
none ,ไม่มี
nonsense ,เรื่องไร้สาระ
nor  ,ไม่
normal  ,ปกติ
normally ,ปกติ
north   ,ทางทิศเหนือ
northern ,ภาคเหนือ
nose ,จมูก
not ,ไม่
note  ,บันทึก
nothing ,ไม่มีอะไร
notice  ,แจ้งให้ทราบ
take notice of,จะแจ้งให้ทราบ
noticeable ,เห็นได้ชัด
novel ,นวนิยาย
November ,พฤศจิกายน
now ,ตอนนี้
nowhere ,ไม่มีที่ไหนเลย
nuclear ,นิวเคลียร์
number ,จำนวน
nurse ,พยาบาล
nut ,ถั่ว
obey ,เชื่อฟัง
object  ,วัตถุ
objective  ,วัตถุประสงค์
observation ,การสังเกต
observe ,สังเกต
obtain ,ได้รับ
obvious ,ชัดเจน
obviously ,อย่างชัดเจน
occasion ,โอกาส
occasionally ,เป็นครั้งคราว
occupy ,ครอบครอง
occupied ,ที่ถูกครอบครอง
occur ,เกิดขึ้น
ocean ,มหาสมุทร
o’clock ,โมง
October ,ตุลาคม
odd ,แปลก
oddly ,อย่างผิดปกติ
of ,ของ
off  ,ปิด
offence ,การกระทำผิดกฎหมาย
offend ,ขัดใจ
offensive ,น่ารังเกียจ
offer  ,เสนอ
office ,สำนักงาน
officer ,เจ้าหน้าที่
official  ,เป็นทางการ
officially ,อย่างเป็นทางการ
often ,บ่อยครั้ง
oh exclamation,โอ้อัศเจรีย์
oil ,น้ำมัน
OK ,ตกลง
old ,เก่า
old-fashioned ,หัวโบราณ
on  ,บน
once  ,ครั้งหนึ่ง
one number ,จำนวนหนึ่ง
one another each other,อีกคนหนึ่งซึ่งกันและกัน
onion ,หัวหอม
only  ,เท่านั้น
onto ,ไปยัง
open  ,เปิด
openly ,เปิดเผย
opening ,การเปิด
operate ,ทำงาน
operation ,การทำงาน
opinion ,ความคิดเห็น
opponent ,คู่แข่ง
opportunity ,โอกาส
oppose ,ต่อต้าน
opposing ,ที่คัดค้าน
opposed to,นอกคอก
opposite    ,ตรงข้าม
opposition ,ฝ่ายค้าน
option ,ตัวเลือก
or ,หรือ
orange  ,ส้ม
order  ,ใบสั่ง
in order to,เพื่อที่จะ
ordinary ,สามัญ
organ ,อวัยวะ
organization,องค์กร
organize ,จัดระเบียบ
organized ,จัด
origin ,ที่มา
original  ,เป็นต้นฉบับ
originally ,แต่เดิม
other  ,อื่น ๆ
otherwise ,มิฉะนั้น
ought to modal ,ควรจะกิริยา
our ,ของเรา
ours ,ของเราเอง
ourselves ,ตัวเรา
out (of)  ,ออก (จาก)
outdoors ,กลางแจ้ง
outdoor ,กลางแจ้ง
outer ,ด้านนอก
outline  ,เค้าโครง
output ,เอาท์พุต
outside    ,ด้านนอก
outstanding ,โดดเด่น
oven ,เตาอบ
over  ,เกิน
overall  ,ทั้งหมด
overcome ,เอาชนะ
owe ,เป็นหนี้
own ,ด้วยตัวเอง
owner ,เจ้าของ
pace ,ก้าว
pack  ,แพ็ค
package  ,บรรจุภัณฑ์
packaging ,บรรจุภัณฑ์
packet ,ห่อ
page  ,หน้า
pain ,ความเจ็บปวด
painful ,เจ็บปวด
paint  ,สี
painting ,จิตรกรรม
painter ,จิตรกร
pair ,คู่
palace ,พระราชวัง
pale ,ซีด
pan ,กระทะ
panel ,แผงหน้าปัด
pants ,กางเกง
paper ,กระดาษ
parallel ,ขนาน
parent ,ผู้ปกครอง
park  ,สวน
parliament ,รัฐสภา
part ,ส่วนหนึ่ง
take part ,มีส่วนร่วม
particular ,โดยเฉพาะ
particularly ,โดยเฉพาะ
partly ,เป็นบางส่วน
partner ,หุ้นส่วน
partnership ,หุ้นส่วน
party ,พรรค
passing  ,ที่ผ่านไป
passage ,ทางเดิน
passenger ,ผู้โดยสาร
passport ,หนังสือเดินทาง
past    ,อดีต
path ,เส้นทาง
patience ,ความอดทน
patient  ,อดทน
pattern ,แบบแผน
pause  ,หยุด
pay  ,การจ่ายเงิน
payment ,การชำระเงิน
peace ,ความสงบ
peaceful ,เงียบสงบ
peak ,จุดสูงสุด
pen ,ปากกา
pence ,เพนนี
penny,เงิน
pencil ,ดินสอ
penny,เงิน
pension ,เงินบำนาญ
people ,คน
pepper ,พริกไทย
per ,ต่อ
per cent ,ร้อยละ
perfect ,สมบูรณ์
perfectly ,อย่างสมบูรณ์
perform ,ปฏิบัติการ
performer ,ผู้ปฏิบัติ
perhaps ,บางที
period ,ระยะเวลา
permanent ,ถาวร
permanently ,อย่างถาวร
permission ,การอนุญาต
permit ,ใบอนุญาต
personal ,ส่วนบุคคล
personally ,ส่วนตัว
personality ,บุคลิกภาพ
persuade ,ชักชวน
petrol  ,เบนซิน
phase ,ระยะ
philosophy ,ปรัชญา
phone telephone,โทรศัพท์โทรศัพท์
photocopy  ,ถ่ายสำเนา
photograph  ,ถ่ายภาพ
